	###	Comment	Type	Target	Implicit	Metaphor/metonymy	Sarcasm/humor	Rhetorical question	Circumlocution	binary-hate-speech
0	https://www.facebook.com/228735667216_10153273091322217_10153273106207217	Can we shut up about refugees already?	Acceptable speech	No target						Acceptable speech
1	https://www.facebook.com/228735667216_10153273091322217_10153273111682217	Why should we? It's the biggest humanitarian crisis since WWII.	Acceptable speech	No target						Acceptable speech
2	https://www.facebook.com/228735667216_10153273091322217_10153273119732217	these refugees adult males are cowards for not defending their homeland	Background offensive	Migrants	0.0					Hate speech
3	https://www.facebook.com/228735667216_10153273091322217_10153273121902217	Does Syria own the BBC?.........	Acceptable speech|Other offensive	No target|Journalist or medium						discard
4	https://www.facebook.com/228735667216_10153273091322217_10153273125087217	They are all mentally jerking off to the refugee crisis, always showing little kids and exhausted women. How come all we see in Europe are angry young male economic migrants.	Background offensive	Migrants	0.0					Hate speech
5	https://www.facebook.com/228735667216_10153273091322217_10153273156907217	You only see what you want to see. Pretty much like ostrich.	Other offensive	Commenter	1.0	1.0	1.0	0.0	0.0	Hate speech
6	https://www.facebook.com/228735667216_10153273091322217_10153273216232217	You should Said that your parents and your Europeans in WWII when their refugees FLED TO NORTH AFRICA .	Acceptable speech	No target						Acceptable speech
7	https://www.facebook.com/228735667216_10153273091322217_10153273263042217	Delfina Jones are you one of the Donald Trump's Sidechicks?	Other offensive	Commenter	1.0	1.0	1.0	1.0	0.0	Hate speech
8	https://www.facebook.com/228735667216_10153273091322217_10153273287852217	Europeans who immigrated during WW2 weren't bringing Islam with them and their stupid demands to accommodate their medieval views. They weren't burning embassies and rioting when someone drew a picture of a pedophile prophet.	Background offensive	Migrants	0.0					Hate speech
9	https://www.facebook.com/228735667216_10153273091322217_10153273313957217	Define, what demands? Where are these demands which are to accommodate their views? I could have missed an article or two.	Acceptable speech	No target						Acceptable speech
10	https://www.facebook.com/228735667216_10153273091322217_10153273328027217	Delfina Jones a Merry Christmas to all British racists	Other offensive	Commenter	0.0					Hate speech
11	https://www.facebook.com/228735667216_10153273091322217_10153273355712217	Peter Hallam How does speaking the truth make Delfina racist? put the race card away and allow people to have their say.	Acceptable speech	No target						Acceptable speech
12	https://www.facebook.com/228735667216_10153273091322217_10153273379912217	Esin Ayse Kaya there is so many examples. Here is one, they are demanding film is stopped because they don't like it and they react with violence: http://youtu.be/g0sRmpvdIIk	Acceptable speech|Background offensive	No target|Migrants						discard
13	https://www.facebook.com/228735667216_10153273091322217_10153273383742217	Peter Hallam, Islam is not a race. I don't care about peoples sexuality, nationality or race, but religion is a choice. Being a moderate Muslim is like being a moderate nazi or moderate kkk member. You might be the most peaceful human being but your views are still stupid and incompatible with western values and democracy.	Background offensive	Migrants	0.0					Hate speech
14	https://www.facebook.com/228735667216_10153273091322217_10153273396477217	Esin Ayse Kaya Here take a look, a very real issue on the streets of Britain. https://www.youtube.com/watch?v=tYJPaZYXyD0 Do you wish to deny this is real?	Acceptable speech	No target						Acceptable speech
15	https://www.facebook.com/228735667216_10153273091322217_10153273400197217	Stacey's mini documentary has really been a shocking eye opener to many who have seen it	Acceptable speech	No target						Acceptable speech
16	https://www.facebook.com/228735667216_10153273091322217_10153273403332217	And this is happening all over Europe. But of course if you are a concerned citizen and even DARE to voice your concerns, you are automatically branded a racist.	Acceptable speech	No target						Acceptable speech
17	https://www.facebook.com/228735667216_10153273091322217_10153273413097217	Oh okay thank you. I will look at it. I'm not denying anything. I just want to keep an open mind and if you say something I will consider it.	Acceptable speech	No target						Acceptable speech
18	https://www.facebook.com/228735667216_10153273091322217_10153273416637217	Delfina Jones because anything that isn't western means it's immediately bad. Wow, just...let me bash my head over the sheer amount of stupidity in your comments...	Other offensive	Commenter	0.0					Hate speech
19	https://www.facebook.com/228735667216_10153273091322217_10153273419642217	Sagal Aden I've never said that. All said was that Muslim values are not compatible with western. If you beg to differ than name one positive thing that Islam introduced in Europe.	Background offensive	Migrants	1.0	0.0	0.0	0.0	1.0	Hate speech
20	https://www.facebook.com/228735667216_10153273091322217_10153273428452217	David Olend Thank you David, that was certainly food for thought!	Acceptable speech	No target						Acceptable speech
21	https://www.facebook.com/228735667216_10153273091322217_10153273431247217	Esin Ayse Kaya What is your take and opinion of the video that I posted for you? A reason or not for Europeans to be concerned?	Acceptable speech	No target						Acceptable speech
22	https://www.facebook.com/228735667216_10153273091322217_10153273456022217	Delfina Jones oh you wanna go there? Wait let me just prepare my fingers for all the writing, sources and laughing my butt off for the challenge. *Holding my breath*	Acceptable speech|Other offensive	No target|Commenter						discard
23	https://www.facebook.com/228735667216_10153273091322217_10153273462762217	Sagal Aden I don't wanna go anywhere but you must admit that it should be rather troubling if you can't even name one thing. Hiding behind sarcasm won't work. No need for sources either, you could mention something you think was positive for the west. But you can't. I, however, can list many negative examples your stupid cult caused in Europe.	Background offensive	Migrants	0.0					Hate speech
